id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pendidikan;jumlah_pengangguran;satuan;tahun
1054;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;1388;ORANG;2020
1055;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SD;7250;ORANG;2020
1056;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SMP;7763;ORANG;2020
1057;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SMA (UMUM);8604;ORANG;2020
1058;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SMA (KEJURUAN);10327;ORANG;2020
1059;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;3466;ORANG;2020
1060;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;0;ORANG;2020
1061;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SD;11645;ORANG;2020
1062;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SMP;9550;ORANG;2020
1063;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SMA (UMUM);14705;ORANG;2020
1064;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;SMA (KEJURUAN);20994;ORANG;2020
1065;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;6168;ORANG;2020
1066;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;9098;ORANG;2020
1067;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SD;18887;ORANG;2020
1068;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SMP;16622;ORANG;2020
1069;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SMA (UMUM);16060;ORANG;2020
1070;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;SMA (KEJURUAN);22182;ORANG;2020
1071;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;3812;ORANG;2020
1072;32;JAWA BARAT;3213;KABUPATEN SUBANG;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2500;ORANG;2020
1073;32;JAWA BARAT;3213;KABUPATEN SUBANG;SD;10702;ORANG;2020
1074;32;JAWA BARAT;3213;KABUPATEN SUBANG;SMP;22923;ORANG;2020
1075;32;JAWA BARAT;3213;KABUPATEN SUBANG;SMA (UMUM);16337;ORANG;2020
1076;32;JAWA BARAT;3213;KABUPATEN SUBANG;SMA (KEJURUAN);19721;ORANG;2020
1077;32;JAWA BARAT;3213;KABUPATEN SUBANG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;6000;ORANG;2020
1078;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2963;ORANG;2020
1079;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;SD;9848;ORANG;2020
1080;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;SMP;7623;ORANG;2020
1081;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;SMA (UMUM);8652;ORANG;2020
1082;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;SMA (KEJURUAN);14493;ORANG;2020
1083;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4306;ORANG;2020
1084;32;JAWA BARAT;3215;KABUPATEN KARAWANG;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;8479;ORANG;2020
1085;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SD;16077;ORANG;2020
1086;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SMP;27905;ORANG;2020
1087;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SMA (UMUM);30187;ORANG;2020
1088;32;JAWA BARAT;3215;KABUPATEN KARAWANG;SMA (KEJURUAN);43900;ORANG;2020
1089;32;JAWA BARAT;3215;KABUPATEN KARAWANG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;7350;ORANG;2020
1090;32;JAWA BARAT;3216;KABUPATEN BEKASI;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2631;ORANG;2020
1091;32;JAWA BARAT;3216;KABUPATEN BEKASI;SD;19565;ORANG;2020
1092;32;JAWA BARAT;3216;KABUPATEN BEKASI;SMP;21685;ORANG;2020
1093;32;JAWA BARAT;3216;KABUPATEN BEKASI;SMA (UMUM);52765;ORANG;2020
1094;32;JAWA BARAT;3216;KABUPATEN BEKASI;SMA (KEJURUAN);78946;ORANG;2020
1095;32;JAWA BARAT;3216;KABUPATEN BEKASI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;36843;ORANG;2020
1096;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;4832;ORANG;2020
1097;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SD;22449;ORANG;2020
1098;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SMP;17154;ORANG;2020
1099;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SMA (UMUM);23553;ORANG;2020
1100;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;SMA (KEJURUAN);18112;ORANG;2020
1101;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;5457;ORANG;2020
1102;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;474;ORANG;2020
1103;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SD;2951;ORANG;2020
1104;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SMP;3489;ORANG;2020
1105;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SMA (UMUM);2042;ORANG;2020
1106;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;SMA (KEJURUAN);2836;ORANG;2020
1107;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;684;ORANG;2020
1108;32;JAWA BARAT;3271;KOTA BOGOR;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;1915;ORANG;2020
1109;32;JAWA BARAT;3271;KOTA BOGOR;SD;10983;ORANG;2020
1110;32;JAWA BARAT;3271;KOTA BOGOR;SMP;7370;ORANG;2020
1111;32;JAWA BARAT;3271;KOTA BOGOR;SMA (UMUM);16354;ORANG;2020
1112;32;JAWA BARAT;3271;KOTA BOGOR;SMA (KEJURUAN);21970;ORANG;2020
1113;32;JAWA BARAT;3271;KOTA BOGOR;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;6611;ORANG;2020
1114;32;JAWA BARAT;3272;KOTA SUKABUMI;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;123;ORANG;2020
1115;32;JAWA BARAT;3272;KOTA SUKABUMI;SD;2578;ORANG;2020
1116;32;JAWA BARAT;3272;KOTA SUKABUMI;SMP;2413;ORANG;2020
1117;32;JAWA BARAT;3272;KOTA SUKABUMI;SMA (UMUM);5976;ORANG;2020
1118;32;JAWA BARAT;3272;KOTA SUKABUMI;SMA (KEJURUAN);4516;ORANG;2020
1119;32;JAWA BARAT;3272;KOTA SUKABUMI;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;1389;ORANG;2020
1120;32;JAWA BARAT;3273;KOTA BANDUNG;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2662;ORANG;2020
1121;32;JAWA BARAT;3273;KOTA BANDUNG;SD;11440;ORANG;2020
1122;32;JAWA BARAT;3273;KOTA BANDUNG;SMP;13324;ORANG;2020
1123;32;JAWA BARAT;3273;KOTA BANDUNG;SMA (UMUM);54215;ORANG;2020
1124;32;JAWA BARAT;3273;KOTA BANDUNG;SMA (KEJURUAN);33242;ORANG;2020
1125;32;JAWA BARAT;3273;KOTA BANDUNG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;32198;ORANG;2020
1126;32;JAWA BARAT;3274;KOTA CIREBON;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;3510;ORANG;2020
1127;32;JAWA BARAT;3274;KOTA CIREBON;SD;3074;ORANG;2020
1128;32;JAWA BARAT;3274;KOTA CIREBON;SMP;921;ORANG;2020
1129;32;JAWA BARAT;3274;KOTA CIREBON;SMA (UMUM);5036;ORANG;2020
1130;32;JAWA BARAT;3274;KOTA CIREBON;SMA (KEJURUAN);3161;ORANG;2020
1131;32;JAWA BARAT;3274;KOTA CIREBON;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;1464;ORANG;2020
1132;32;JAWA BARAT;3275;KOTA BEKASI;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2322;ORANG;2020
1133;32;JAWA BARAT;3275;KOTA BEKASI;SD;6155;ORANG;2020
1134;32;JAWA BARAT;3275;KOTA BEKASI;SMP;26353;ORANG;2020
1135;32;JAWA BARAT;3275;KOTA BEKASI;SMA (UMUM);32936;ORANG;2020
1136;32;JAWA BARAT;3275;KOTA BEKASI;SMA (KEJURUAN);42396;ORANG;2020
